name	type	status	impedance	description
Fp1	eeg	good	0	Simulated; SimEEG
Fp2	eeg	good	0	Simulated; SimEEG
AF7	eeg	good	0	Simulated; SimEEG
AF3	eeg	good	0	Simulated; SimEEG
AFz	eeg	good	0	Simulated; SimEEG
AF4	eeg	good	0	Simulated; SimEEG
AF8	eeg	good	0	Simulated; SimEEG
F7	eeg	good	0	Simulated; SimEEG
F5	eeg	good	0	Simulated; SimEEG
F3	eeg	good	0	Simulated; SimEEG
F1	eeg	good	0	Simulated; SimEEG
Fz	eeg	good	0	Simulated; SimEEG
F2	eeg	good	0	Simulated; SimEEG
F4	eeg	good	0	Simulated; SimEEG
F6	eeg	good	0	Simulated; SimEEG
F8	eeg	good	0	Simulated; SimEEG
FT7	eeg	good	0	Simulated; SimEEG
FC5	eeg	good	0	Simulated; SimEEG
FC3	eeg	good	0	Simulated; SimEEG
FC1	eeg	good	0	Simulated; SimEEG
FCz	eeg	good	0	Simulated; SimEEG
FC2	eeg	good	0	Simulated; SimEEG
FC4	eeg	good	0	Simulated; SimEEG
FC6	eeg	good	0	Simulated; SimEEG
FT8	eeg	good	0	Simulated; SimEEG
T7	eeg	good	0	Simulated; SimEEG
C5	eeg	good	0	Simulated; SimEEG
C3	eeg	good	0	Simulated; SimEEG
C1	eeg	good	0	Simulated; SimEEG
Cz	eeg	good	0	Simulated; SimEEG
C2	eeg	good	0	Simulated; SimEEG
C4	eeg	good	0	Simulated; SimEEG
C6	eeg	good	0	Simulated; SimEEG
T8	eeg	good	0	Simulated; SimEEG
P9	eeg	good	0	Simulated; SimEEG
TP7	eeg	good	0	Simulated; SimEEG
CP5	eeg	good	0	Simulated; SimEEG
CP3	eeg	good	0	Simulated; SimEEG
CP1	eeg	good	0	Simulated; SimEEG
CPz	eeg	good	0	Simulated; SimEEG
CP2	eeg	good	0	Simulated; SimEEG
CP4	eeg	good	0	Simulated; SimEEG
CP6	eeg	good	0	Simulated; SimEEG
TP8	eeg	good	0	Simulated; SimEEG
P10	eeg	good	0	Simulated; SimEEG
P7	eeg	good	0	Simulated; SimEEG
P5	eeg	good	0	Simulated; SimEEG
P3	eeg	good	0	Simulated; SimEEG
P1	eeg	good	0	Simulated; SimEEG
Pz	eeg	good	0	Simulated; SimEEG
P2	eeg	good	0	Simulated; SimEEG
P4	eeg	good	0	Simulated; SimEEG
P6	eeg	good	0	Simulated; SimEEG
P8	eeg	good	0	Simulated; SimEEG
PO9	eeg	good	0	Simulated; SimEEG
PO7	eeg	good	0	Simulated; SimEEG
PO3	eeg	good	0	Simulated; SimEEG
POz	eeg	good	0	Simulated; SimEEG
PO4	eeg	good	0	Simulated; SimEEG
PO8	eeg	good	0	Simulated; SimEEG
PO10	eeg	good	0	Simulated; SimEEG
O1	eeg	good	0	Simulated; SimEEG
Oz	eeg	good	0	Simulated; SimEEG
O2	eeg	good	0	Simulated; SimEEG
